IdInstituicao,IdConvenio,NomFantasia
1155,1101,ABAC
1101,1010,AFEB BRASAL
1080,1010,AFEB BRASAL
1025,1010,AFEB BRASAL
1102,1010,AFEB BRASAL
1025,1014,AFFEGO
1081,1014,AFFEGO
1050,1032,ALLIANZ SAÚDE
1320,1002,AMIL
1006,1002,AMIL
1007,1002,AMIL
1149,1002,AMIL
1025,1017,ASETE (ASTE)
1082,1017,ASETE (ASTE)
1008,1000,ASSEFAZ
1123,1000,ASSEFAZ
1008,1106,ASSEFAZ - MEDICINA LABORATORIAL
1099,1031,ASSEFAZ BIOMOL
1083,1031,ASSEFAZ BIOMOL
1008,1031,ASSEFAZ BIOMOL
1051,1003,BACEN
1025,1003,BACEN
1025,1118,BACEN - MEDICINA LABORATORIAL
1025,1077,BACEN AMH
1004,1076,BIOCITHO
1122,1069,BRA CITOLAB
1122,1001,BRADESCO
1320,1001,BRADESCO
1000,1001,BRADESCO
1106,1001,BRADESCO
1122,1116,BRADESCO - MEDICINA LABORATORIAL
1000,1116,BRADESCO - MEDICINA LABORATORIAL
1122,1073,BRADESCO BIOMOL
1000,1073,BRADESCO BIOMOL
1000,1081,BRADESCO MEDIGEST
1123,1081,BRADESCO MEDIGEST
1084,1059,BRB
1268,1059,BRB
1261,1059,BRB
1109,1075,BRB CITOLAB
1025,1019,CAEME
1025,1053,CAESAN
1283,1098,CÂMARA DOS DEPUTADOS
1283,1060,CÂMARA DOS DEPUTADOS - Medicina Laboratorial
1101,1060,CÂMARA DOS DEPUTADOS - Medicina Laboratorial
1090,1060,CÂMARA DOS DEPUTADOS - Medicina Laboratorial
1025,1015,CAMED
1025,1058,CARE PLUS
1047,1008,CASEMBRAPA
1025,1008,CASEMBRAPA
1123,1004,CASSI
1009,1004,CASSI
1009,1068,CASSI BIOMOL
1098,1065,CASSI-PER
1210,1088,CBMDF
1266,1093,CLUDE SAÚDE
1025,1023,CNTI
1025,1018,CODEVASF-CASEC
1025,1009,CONAB
1026,1009,CONAB
1258,1094,CONSULTORIO DE ENFERMAGEM
1193,1078,Convênio Não Aceito - Devolução Material
1120,1078,Convênio Não Aceito - Devolução Material
100,100,CORTESIA
100,1115,CORTESIA - MEDICINA LABORATORIAL
1123,1012,E-VIDA
1049,1012,E-VIDA
1097,1064,E-VIDAPER
1025,1054,EMBRATEL
1085,1054,EMBRATEL
1048,1013,FACEB
1086,1021,FAPES
1025,1021,FAPES
1253,1024,FASCAL
1025,1024,FASCAL
1055,1024,FASCAL
1253,1134,FASCAL - MEDICINA LABORATORIAL
1204,1085,FUSEX
1204,1087,FUSEX - Pass
1204,1086,FUSEX - SAMEx-Cmb
1343,1125,GAMA SAÚDE
1343,1126,GAMA SAÚDE - MEDICINA LABORATORIAL
1257,1105,GDF SAUDE  - Medicina Laboratorial
1257,1080,GDF-SAÚDE
1025,1080,GDF-SAÚDE
1282,1056,GEAP
1056,1056,GEAP
1025,1056,GEAP
1320,1056,GEAP
1282,1112,GEAP - MEDICINA LABORATORIAL
1025,1052,GRAVIA
1307,1102,HOSPITAL BIO VIDAS
1307,1120,HOSPITAL BIO VIDAS - Medicina Laboratorial
1255,1092,HOSPITAL NAVAL
1131,1079,HSF - HOSPITAL SÃO FRANCISCO
1057,1051,INFRAERO
1025,1051,INFRAERO
1025,1050,LIFE EMPRESARIAL
1058,1050,LIFE EMPRESARIAL
1025,1083,MedHealth
1129,1103,MPF - Medicina Laboratorial
1129,1067,MPF-PLANASSISTE
1025,1067,MPF-PLANASSISTE
1006,1067,MPF-PLANASSISTE
1129,1045,MPM-PLANASSISTE
1025,1045,MPM-PLANASSISTE
1064,1045,MPM-PLANASSISTE
1025,1046,MPT-PLANASSISTE
1063,1046,MPT-PLANASSISTE
1129,1046,MPT-PLANASSISTE
1290,1100,NEXUS
1025,1022,NOTRE DAME
1059,1022,NOTRE DAME
1025,1049,OMINT
1060,1049,OMINT
101,101,PARTICULAR
1122,101,PARTICULAR
1014,101,PARTICULAR
1021,101,PARTICULAR
1102,101,PARTICULAR
1320,101,PARTICULAR
1123,101,PARTICULAR
1130,101,PARTICULAR
1208,101,PARTICULAR
1229,101,PARTICULAR
1102,1097,PARTICULAR - CONVERTIDO
1102,1109,PARTICULAR - MEDICINA LABORATORIAL
1025,1047,PETROBRAS DISTRIBUIDORA
1062,1047,PETROBRAS DISTRIBUIDORA
1025,1048,PETROBRAS PETRÓLEO
1061,1048,PETROBRAS PETRÓLEO
1281,1095,PF SAÚDE
1281,1130,PF SAUDE - MEDICINA LABORATORIAL
1251,1091,PMDF
1251,1107,PMDF - MEDICINA LABORATORIAL
1040,1074,POLIAME
1281,1129,POLICIA FEDERAL - MEDICINA LABORATORIAL
1123,1030,POSTAL SAUDE
1052,1030,POSTAL SAUDE
1052,1122,POSTAL SAUDE - MEDICINA LABOATORIAL
1066,1043,PROASA
1025,1043,PROASA
1025,1121,PROASA - MEDICINA LABORATORIAL
